City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ushuaia,20,AR,1570079116,97,-54.81,-68.31,41.0,26.4
Provideniya,75,RU,1570079116,86,64.42,-173.23,37.4,15.66
Chuy,80,UY,1570078949,78,-33.69,-53.46,56.29,11.86
Bluff,0,AU,1570079117,23,-23.58,149.07,82.89,15.48
Joshimath,0,IN,1570079117,52,30.57,79.57,61.56,6.49
Mana,30,NG,1570079117,83,13.03,5.27,76.72,7.11
Rikitea,66,PF,1570078788,76,-23.12,-134.97,66.69,14.74
Vaini,20,IN,1570078776,78,15.34,74.49,78.8,6.93
Nizwa,0,OM,1570079118,45,22.93,57.53,83.61,5.95
Busselton,87,AU,1570078929,33,-33.64,115.35,78.01,10.29
Ibra,0,OM,1570079118,43,22.69,58.55,86.72,6.26
Avarua,48,CK,1570079119,64,-21.21,-159.78,75.2,6.93
Vyazemskiy,100,RU,1570079119,84,47.53,134.76,44.57,12.08
Tazovskiy,98,RU,1570079120,89,67.47,78.7,45.54,12.57
Lebu,75,ET,1570079120,77,8.96,38.73,59.0,5.82
Mahebourg,75,MU,1570078994,94,-20.41,57.7,77.0,6.93
Butaritari,84,KI,1570078896,59,3.07,172.79,85.23,3.31
Khatanga,0,RU,1570079121,58,71.98,102.47,27.0,9.06
Arraial do Cabo,0,BR,1570079121,86,-22.97,-42.02,68.09,18.45
Hermanus,21,ZA,1570079121,77,-34.42,19.24,55.99,10.4
Fortuna,90,US,1570079121,87,40.6,-124.16,53.01,3.36
Mataura,45,NZ,1570079122,91,-46.19,168.86,48.0,7.0
Srednekolymsk,100,RU,1570079124,94,67.46,153.71,28.3,19.82
Puerto Ayora,69,EC,1570079124,94,-0.74,-90.35,66.99,3.0
Bredasdorp,44,ZA,1570079124,87,-34.53,20.04,52.0,5.82
Cherskiy,50,RU,1570079124,82,68.75,161.3,25.51,14.83
Cape Town,20,ZA,1570078992,93,-33.93,18.42,61.0,2.24
Atuona,12,PF,1570079129,76,-9.8,-139.03,79.63,10.69
Georgetown,0,GY,1570079130,94,6.8,-58.16,77.0,2.64
Hasaki,75,JP,1570079010,61,35.73,140.83,88.0,11.41
Tienen,79,BE,1570079131,87,50.81,4.94,50.0,8.05
Sao Joao da Barra,13,BR,1570078974,97,-21.64,-41.05,64.24,0.63
Kodiak,90,US,1570079133,93,39.95,-94.76,57.2,11.41
Kapaa,40,US,1570078835,74,22.08,-159.32,84.2,19.46
Barrow,0,AR,1570079134,84,-38.31,-60.23,34.09,6.51
Bethel,75,US,1570079120,87,60.79,-161.76,46.4,5.82
Albany,90,US,1570079135,57,42.65,-73.75,51.01,9.17
Rabo de Peixe,40,PT,1570079135,77,37.8,-25.58,71.01,8.05
Nishihara,75,JP,1570079136,48,35.74,139.53,87.01,16.11
Port Lincoln,31,AU,1570079136,84,-34.72,135.86,57.56,13.35
Surt,0,LY,1570079137,63,31.21,16.59,78.1,13.76
Tokur,50,RU,1570079137,37,53.13,132.9,40.75,7.63
Tilichiki,57,RU,1570079138,85,60.47,166.1,29.68,8.08
Kruisfontein,100,ZA,1570079138,80,-34.0,24.73,60.68,19.91
Katete,8,UG,1570079140,79,-0.78,29.75,69.59,1.45
Jamestown,8,AU,1570079143,16,-33.21,138.6,84.65,8.39
Mar del Plata,0,AR,1570079143,54,-46.43,-67.52,43.24,10.36
Punta Arenas,0,CL,1570079144,76,-53.16,-70.91,41.0,19.46
Amapa,20,HN,1570079145,94,15.09,-87.97,78.8,2.24
Hobart,0,AU,1570079145,20,-42.88,147.33,84.0,13.87
Grand Forks,90,US,1570079149,100,47.91,-97.06,39.2,6.93
Daokou,31,CN,1570079150,44,35.61,105.12,63.45,13.58
Rio Gallegos,0,AR,1570078877,72,-51.62,-69.22,39.2,11.41
North Bend,90,US,1570079151,93,43.41,-124.22,53.01,6.93
Salalah,40,OM,1570079151,78,17.01,54.1,80.6,3.36
Dikson,100,RU,1570079152,66,73.51,80.55,28.04,26.06
Shudayag,60,RU,1570079153,82,63.53,53.61,41.63,9.48
Isangel,75,VU,1570079066,57,-19.55,169.27,78.8,14.99
Great Falls,1,US,1570079154,74,47.5,-111.29,35.6,5.82
Port Alfred,34,ZA,1570079156,86,-33.59,26.89,64.99,11.99
Genhe,73,CN,1570079156,36,50.78,121.52,41.8,5.37
Kaliganj,3,BD,1570079157,64,23.41,89.13,89.01,2.39
Codrington,0,AU,1570079086,32,-28.95,153.24,82.4,8.05
Along,34,IN,1570079158,94,28.17,94.8,64.1,4.61
Chokurdakh,97,RU,1570079158,89,70.62,147.9,26.41,11.52
Pacific Grove,1,US,1570079158,38,36.62,-121.92,60.8,9.13
Suluq,0,LY,1570079158,48,31.67,20.25,76.03,18.72
Carnarvon,47,ZA,1570078961,16,-30.97,22.13,60.25,9.62
Bridgend,100,GB,1570078900,93,51.51,-3.58,48.99,6.93
Idlib,20,SY,1570079159,69,35.93,36.64,77.0,10.29
Fort Nelson,75,CA,1570079159,76,58.81,-122.69,51.8,2.24
Chernyshevskiy,100,RU,1570078943,96,63.01,112.47,32.78,11.61
Sarakhs,0,TM,1570079160,48,36.54,61.16,62.6,2.55
Vila,0,IT,1570079056,30,45.18,8.4,62.01,16.11
Taitung,20,TW,1570079161,70,22.76,121.15,86.0,9.17
Leningradskiy,100,RU,1570079161,90,69.38,178.42,31.45,9.82
Lagunas,77,PE,1570079162,82,-5.23,-75.68,74.21,2.55
Quatre Cocos,75,MU,1570079162,94,-20.21,57.76,77.0,6.93
Kalanganan,18,PH,1570079162,79,8.08,124.25,84.99,8.01
Syke,40,DE,1570079163,93,52.91,8.82,52.0,5.82
Guabito,77,PA,1570079163,90,9.5,-82.61,68.53,2.71
Luancheng,8,CN,1570079163,42,37.88,114.65,86.0,4.47
Ancud,0,CL,1570079164,100,-41.87,-73.83,33.8,5.82
Clyde River,90,CA,1570078988,98,70.47,-68.59,32.0,8.05
Pinawa,100,CA,1570079001,100,50.15,-95.88,32.0,3.85
Saint-Francois,20,FR,1570079164,100,46.42,3.91,39.2,0.29
Sorland,20,NO,1570079165,69,67.67,12.69,33.8,8.05
Airai,0,TL,1570079166,29,-8.93,125.41,94.36,2.77
Poronaysk,100,RU,1570079166,95,49.22,143.1,39.53,6.82
Dhidhdhoo,0,MV,1570079166,72,6.88,73.1,83.14,7.85
Redmond,75,US,1570079167,54,47.67,-122.12,57.2,2.28
Tupi Paulista,100,BR,1570079167,88,-21.38,-51.58,72.63,4.05
Desbiens,75,CA,1570079168,74,48.42,-71.95,41.0,6.93
Ripky,86,UA,1570079168,74,51.8,31.09,57.22,10.78
Mersin,0,TR,1570079169,88,36.81,34.63,75.2,5.82
Leh,42,IN,1570079169,27,34.16,77.58,38.52,1.01
Gamba,68,CN,1570078965,44,28.28,88.52,45.32,5.86
Cidreira,100,BR,1570079170,93,-30.17,-50.22,63.22,6.78
Yar-Sale,83,RU,1570078877,80,66.83,70.83,44.01,12.97
Kamskiye Polyany,0,RU,1570079171,81,55.43,51.42,51.8,15.66
Izhma,99,RU,1570079171,89,65.01,53.91,34.88,9.64
Port Elizabeth,90,US,1570079171,69,39.31,-74.98,79.0,11.41
Coahuayana,100,MX,1570079172,92,18.62,-100.35,68.78,2.59
Salta,0,AR,1570079122,47,-24.79,-65.41,59.0,3.36
Fayaoue,100,NC,1570079173,73,-20.65,166.53,70.34,21.9
Komsomolskiy,100,RU,1570078940,84,67.55,63.78,40.82,16.46
Coos Bay,90,US,1570079173,93,43.37,-124.22,53.01,6.93
Godo,75,JP,1570079174,65,35.42,136.61,80.6,19.46
Mehamn,97,NO,1570079174,76,71.03,27.85,35.26,13.94
Saskylakh,3,RU,1570079175,79,71.97,114.09,20.7,1.61
Humberto de Campos,3,BR,1570079175,82,-2.6,-43.46,75.87,6.67
Saint-Pierre,0,FR,1570079050,100,48.95,4.24,35.6,3.36
Barinas,61,VE,1570079176,77,8.64,-70.23,72.92,2.51
Mount Isa,0,AU,1570079176,17,-20.73,139.49,93.2,13.87
Cabo San Lucas,20,MX,1570079010,78,22.89,-109.91,80.01,4.7
Ganzhou,0,CN,1570079176,30,25.86,114.93,94.28,5.19
Noumea,90,NC,1570078906,49,-22.28,166.46,73.4,24.16
Portland,75,US,1570079044,75,43.66,-70.25,48.2,6.93
Sitka,73,US,1570078880,92,37.17,-99.65,55.99,20.0
Alyangula,100,AU,1570079178,43,-13.85,136.42,87.8,14.99
Pontianak,75,ID,1570079179,74,-0.02,109.34,84.2,3.36
Atasu,0,KZ,1570079179,21,48.68,71.64,51.44,5.53
Yellowknife,75,CA,1570079180,65,62.45,-114.38,46.4,8.05
Bhuj,16,IN,1570079180,66,23.25,69.67,86.13,12.28
Norman Wells,90,CA,1570079180,100,65.28,-126.83,44.6,3.36
Mandan,90,US,1570079180,96,46.83,-100.89,33.01,4.7
Grand Gaube,75,MU,1570079181,94,-20.01,57.66,77.0,6.93
Karwar,59,IN,1570079181,71,14.8,74.13,84.46,9.57
Veraval,83,FR,1570079181,93,49.65,0.71,39.99,3.36
Hilo,90,US,1570078975,83,19.71,-155.08,77.0,5.82
Pevek,100,RU,1570079182,69,69.7,170.27,28.94,2.64
Erzin,20,TR,1570079182,69,36.95,36.2,77.0,10.29
Castro,0,CL,1570079183,100,-42.48,-73.76,33.8,5.82
Geraldton,75,CA,1570078945,83,49.72,-86.95,32.0,6.93
Yumen,81,CN,1570079184,21,40.29,97.04,62.6,19.75
Huilong,99,CN,1570079184,73,31.15,106.5,76.66,3.04
Clarence Town,0,AU,1570079185,21,-32.59,151.78,84.99,11.41
Manavalakurichi,20,IN,1570079185,74,8.13,77.3,84.2,8.05
Raudeberg,40,NO,1570079185,66,61.99,5.14,48.2,8.05
Longyearbyen,75,NO,1570079182,74,78.22,15.63,35.6,18.34
New Norfolk,0,AU,1570079186,20,-42.78,147.06,84.0,13.87
Athens,20,GR,1570079187,88,37.98,23.73,73.0,6.35
Tuktoyaktuk,90,CA,1570079093,100,69.44,-133.03,35.6,13.87
Qaanaaq,31,GL,1570079181,65,77.48,-69.36,21.94,5.86
Lompoc,1,US,1570079188,62,34.64,-120.46,60.01,12.03
Bose,0,IT,1570079188,62,45.46,8.01,62.01,6.93
Inndyr,20,NO,1570079188,69,67.03,14.03,35.6,12.75
Opunake,100,NZ,1570079189,80,-39.45,173.86,48.0,10.0
Hithadhoo,95,MV,1570079189,79,-0.6,73.08,82.64,16.15
Tuatapere,72,NZ,1570079190,91,-46.13,167.69,48.0,7.0
Cascais,20,PT,1570079126,87,38.7,-9.42,63.0,2.24
Saint George,40,GR,1570079190,93,39.45,22.34,60.8,2.59
Sao Filipe,22,CV,1570079191,84,14.9,-24.5,77.09,11.01
Gimli,100,CA,1570079068,89,50.63,-96.99,41.0,6.76
Barra da Estiva,50,BR,1570079191,95,-13.63,-41.33,60.39,4.23
Coihaique,0,CL,1570078992,74,-45.58,-72.07,33.8,3.36
Lillooet,75,CA,1570079191,38,50.69,-121.94,59.0,3.36
Lake Havasu City,20,US,1570079192,10,34.47,-114.34,77.0,3.36
Adrar,0,DZ,1570079192,13,27.87,-0.29,77.0,11.41
Kargasok,85,RU,1570079193,61,59.06,80.87,48.71,12.77
Victoria,75,BN,1570079193,62,5.28,115.24,87.8,2.24
Galle,100,GN,1570079193,93,10.08,-12.83,69.97,3.74
Vila Velha,0,BR,1570079194,73,-3.71,-38.6,77.0,5.82
Magdagachi,0,RU,1570079194,27,53.45,125.8,44.33,7.72
Voh,78,NC,1570079194,71,-20.95,164.69,70.45,24.25
Faanui,11,PF,1570079195,77,-16.48,-151.75,78.17,15.66
San Antonio,0,CL,1570079195,81,-33.58,-71.61,46.4,5.82
Batetskiy,100,RU,1570079195,91,58.65,30.3,41.81,7.05
Kharan,22,PK,1570079196,25,28.58,65.42,87.52,9.13
Prince Albert,5,CA,1570079196,92,53.2,-105.75,26.6,2.24
Ribeira Grande,100,PT,1570079197,64,38.52,-28.7,69.66,10.8
Fukue,75,JP,1570079198,65,35.03,136.69,80.6,19.46
Katsuura,75,JP,1570079198,83,33.93,134.5,77.0,33.33
Seoul,75,KR,1570078922,57,37.57,126.98,80.6,4.7
Tongliao,81,CN,1570079199,44,43.61,122.27,50.94,21.59
Dingle,58,PH,1570079200,61,11.0,122.67,87.93,4.47
Santa Maria da Boa Vista,46,BR,1570079201,80,-8.8,-39.83,70.78,12.68
Stavern,75,NO,1570079202,86,59.0,10.03,43.0,2.24
Pochutla,99,MX,1570079202,91,15.74,-96.47,73.99,3.89
East London,0,ZA,1570079039,63,-33.02,27.91,62.6,16.11
Severo-Kurilsk,97,RU,1570079204,96,50.68,156.12,47.95,12.82
Ixtapa,75,MX,1570079204,94,20.71,-105.21,78.8,6.89
General Roca,40,AR,1570079205,40,-39.03,-67.58,53.6,6.93
Elban,94,RU,1570079209,51,50.1,136.51,46.28,13.56
Hami,0,CN,1570079210,19,42.84,93.51,64.98,8.08
Ravar,0,IR,1570079211,16,31.27,56.81,75.65,7.02
Tual,11,ID,1570079211,81,-5.67,132.75,80.51,13.18
Zilupe,100,RU,1570079212,97,56.39,28.12,45.54,5.64
Klaksvik,6,FO,1570079213,81,62.23,-6.59,44.6,9.17
Hualmay,43,PE,1570079213,90,-11.1,-77.61,61.45,16.82
Boyolangu,0,ID,1570079213,38,-8.09,111.9,92.03,10.33
Plettenberg Bay,100,ZA,1570079213,86,-34.05,23.37,59.47,6.46
Iqaluit,75,CA,1570079213,90,63.75,-68.52,33.8,8.05
Nevesinje,75,BA,1570079214,100,43.26,18.11,57.2,7.96
Sioux Lookout,90,CA,1570079059,80,50.1,-91.92,39.2,3.36
Peleduy,100,RU,1570079214,95,59.63,112.75,33.1,12.06
Tasiilaq,100,GL,1570079214,65,65.61,-37.64,41.0,35.57
Whitehorse,20,CA,1570079214,69,60.72,-135.06,39.2,4.7
Iquique,90,CL,1570079089,77,-20.22,-70.14,60.8,6.93
Bambous Virieux,75,MU,1570079215,94,-20.34,57.76,77.0,6.93
Brae,37,GB,1570079215,75,60.4,-1.35,46.4,10.29
Aykhal,90,RU,1570079216,92,65.95,111.51,26.6,6.71
Zwedru,99,LR,1570079216,99,6.07,-8.13,69.75,1.63
Uzunovo,0,BG,1570079216,93,41.84,25.1,53.6,2.71
Havre-Saint-Pierre,75,CA,1570079025,69,50.23,-63.6,35.6,8.05
Fjerritslev,100,DK,1570079217,87,57.08,9.27,46.99,9.15
Gat,93,SN,1570079218,88,14.69,-16.54,77.0,6.93
Sestri Levante,0,IT,1570079218,25,44.27,9.41,66.2,19.46
Port Macquarie,7,AU,1570079219,31,-31.43,152.91,78.8,10.29
Mariel,40,CU,1570079219,100,22.99,-82.75,75.2,4.7
Saint-Philippe,1,CA,1570079220,86,45.36,-73.48,44.01,3.36
Lagoa,0,PT,1570079221,77,37.14,-8.45,60.01,5.82
Karratha,0,AU,1570079221,13,-20.74,116.85,102.04,16.15
Hashtrud,0,IR,1570079222,36,37.48,47.05,65.25,3.49
Muisne,100,EC,1570079222,83,0.61,-80.02,74.81,12.01
Jackson,1,US,1570079084,88,32.3,-90.18,80.6,2.95
Troitskoye,0,RU,1570079223,31,52.98,84.68,51.77,4.59
Westport,90,US,1570078937,87,41.14,-73.36,64.99,17.22
Fallon,90,US,1570079224,100,46.84,-105.12,37.0,3.36
Vestmannaeyjar,100,IS,1570079224,85,63.44,-20.27,46.87,51.29
Merauke,2,ID,1570079225,81,-8.49,140.4,78.89,26.78
Tura,100,RU,1570078957,92,64.27,100.22,37.26,6.22
Manglisi,0,GE,1570079156,72,41.7,44.38,60.8,3.36
Sambava,80,MG,1570079226,70,-14.27,50.17,78.53,5.97
Viseu,0,PT,1570078971,100,40.66,-7.91,57.0,1.12
Ughelli,100,NG,1570079227,94,5.49,6.0,73.75,2.35
Dwarka,40,IN,1570079227,66,28.58,77.04,86.0,4.7
Flinders,0,AU,1570079228,28,-34.58,150.85,86.0,10.29
Galveston,1,US,1570079229,100,40.58,-86.19,73.0,4.7
Vostok,100,RU,1570079229,96,46.45,135.83,55.39,4.54
Paamiut,97,GL,1570079229,50,61.99,-49.67,48.85,19.08
Souillac,40,FR,1570079230,87,45.6,-0.6,51.8,4.7
Guerrero Negro,0,MX,1570079184,78,27.97,-114.04,66.74,11.3
Saldanha,95,PT,1570079230,69,41.42,-6.55,52.97,1.95
Yulara,14,AU,1570079006,6,-25.24,130.99,100.4,6.93
Oktyabrskoye,0,RU,1570079231,54,56.73,85.44,52.0,11.18
Kavieng,40,PG,1570079232,67,-2.57,150.8,83.74,0.43
Aklavik,90,CA,1570078977,93,68.22,-135.01,39.2,9.17
Batagay-Alyta,100,RU,1570079233,76,67.8,130.41,13.18,4.74
Maumere,0,ID,1570079233,60,-8.63,122.22,81.54,6.76
Nikolskoye,90,RU,1570079234,86,59.7,30.79,41.0,11.18
Sinnamary,86,GF,1570079234,80,5.38,-52.96,81.47,17.76
Ponta do Sol,0,BR,1570079234,59,-20.63,-46.0,65.75,5.93
Yudong,3,CN,1570079047,57,32.02,121.36,88.0,4.16
Poletayevo,20,RU,1570079235,60,55.04,61.11,55.0,15.66
Viedma,0,AR,1570079235,68,-40.81,-62.99,38.65,9.24
Nelson Bay,0,AU,1570079235,21,-32.72,152.14,84.2,11.41
Bathsheba,20,BB,1570079235,78,13.22,-59.52,82.4,13.87
Narsaq,100,GL,1570079236,32,60.91,-46.05,51.8,24.16
Maniitsoq,61,GL,1570079234,53,65.42,-52.9,42.68,11.23
Rocha,45,UY,1570079059,92,-34.48,-54.34,47.54,7.9
Sao Miguel do Araguaia,6,BR,1570079236,78,-13.28,-50.16,71.3,4.29
Auki,29,NG,1570078962,90,12.18,6.51,72.11,7.81
Ankpa,65,NG,1570079236,98,7.37,7.63,70.4,6.06
Tanout,50,NE,1570079237,23,14.97,8.88,88.27,1.1
Talnakh,40,RU,1570078977,86,69.49,88.39,37.4,17.9
Kamoke,40,PK,1570079237,62,31.97,74.22,84.2,6.93
Abu Samrah,0,SY,1570079238,60,35.3,37.18,73.57,11.68
Sindou,100,BF,1570079238,95,10.66,-5.16,72.18,3.0
Zhigansk,11,RU,1570079238,53,66.77,123.37,29.45,4.61
Aleksandrov Gay,0,RU,1570079239,68,50.14,48.57,61.31,6.29
Luderitz,0,NA,1570079239,88,-26.65,15.16,55.39,22.44
Mulege,100,MX,1570079239,70,26.88,-111.98,79.49,4.12
Fereydun Kenar,0,IR,1570079239,88,36.69,52.52,66.2,2.24
Petropavlovsk-Kamchatskiy,75,RU,1570079240,82,53.05,158.65,55.4,4.47
Muroto,75,JP,1570079240,83,33.37,134.14,80.6,19.46
Yerkoy,1,TR,1570079240,23,39.64,34.47,71.75,2.73
Springdale,1,US,1570079240,73,36.19,-94.13,75.0,10.29
Peniche,20,PT,1570079241,87,39.36,-9.38,59.0,2.24
Sistranda,75,NO,1570079241,93,63.73,8.83,42.01,8.05
